Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,39300.0,39350.0,38700.0,38700.0,38700.0,1633783
2019-01-02,38750.0,38750.0,38550.0,38750.0,38750.0,1301924
2019-01-02,38750.0,38850.0,38600.0,38850.0,38850.0,964880
2019-01-02,38850.0,38850.0,38650.0,38700.0,38700.0,1060454
2019-01-02,38700.0,38800.0,38600.0,38750.0,38750.0,1028827
2019-01-03,38300.0,38500.0,38000.0,38000.0,38000.0,2806850
2019-01-03,38000.0,38200.0,38000.0,38100.0,38100.0,1376921
2019-01-03,38150.0,38200.0,38050.0,38100.0,38100.0,944539
2019-01-03,38050.0,38100.0,38000.0,38050.0,38050.0,831459
2019-01-03,38100.0,38100.0,37900.0,37950.0,37950.0,1514148
2019-01-03,37950.0,37950.0,37500.0,37500.0,37500.0,2571218
2019-01-04,37500.0,37600.0,37000.0,37100.0,37100.0,3165119
2019-01-04,37050.0,37250.0,36850.0,37100.0,37100.0,2209456
2019-01-04,37100.0,37250.0,36900.0,37150.0,37150.0,1518152
2019-01-04,37150.0,37450.0,37150.0,37300.0,37300.0,1330298
2019-01-04,37350.0,37400.0,37200.0,37250.0,37250.0,1104956
2019-01-04,37250.0,37400.0,37050.0,37250.0,37250.0,1939368
2019-01-07,37950.0,38450.0,37800.0,38350.0,38350.0,0
2019-01-07,38350.0,38500.0,38250.0,38400.0,38400.0,1275790
2019-01-07,38450.0,38550.0,38350.0,38550.0,38550.0,1105476
2019-01-07,38550.0,38700.0,38450.0,38650.0,38650.0,1100514
2019-01-07,38600.0,38700.0,38550.0,38700.0,38700.0,1298174
2019-01-07,38650.0,38900.0,38650.0,38700.0,38700.0,1854786
2019-01-08,38050.0,39200.0,37950.0,39100.0,39100.0,3730839
2019-01-08,39100.0,39150.0,38500.0,38600.0,38600.0,1381985
2019-01-08,38650.0,38900.0,38600.0,38800.0,38800.0,963263
2019-01-08,38800.0,38800.0,38450.0,38550.0,38550.0,1000824
2019-01-08,38550.0,38800.0,38500.0,38800.0,38800.0,1363821
2019-01-08,38800.0,38800.0,38250.0,38350.0,38350.0,1707536
2019-01-09,38600.0,38800.0,38350.0,38600.0,38600.0,4020261
2019-01-09,38600.0,39100.0,38550.0,39100.0,39100.0,1814172
2019-01-09,39100.0,39250.0,39000.0,39100.0,39100.0,1898912
2019-01-09,39150.0,39250.0,39050.0,39250.0,39250.0,1299173
2019-01-09,39250.0,39550.0,39200.0,39400.0,39400.0,2236247
2019-01-09,39450.0,39500.0,39250.0,39400.0,39400.0,2350488
2019-01-10,40000.0,40150.0,39600.0,39800.0,39800.0,0
2019-01-10,39850.0,39900.0,39600.0,39850.0,39850.0,1654040
2019-01-10,39850.0,39900.0,39750.0,39800.0,39800.0,1177095
2019-01-10,39750.0,40050.0,39750.0,40050.0,40050.0,1564668
2019-01-10,40050.0,40050.0,39900.0,39950.0,39950.0,1095395
2019-01-10,39950.0,40000.0,39750.0,39750.0,39750.0,1651330
2019-01-11,40250.0,40400.0,39950.0,40100.0,40100.0,3825430
2019-01-11,40150.0,40400.0,40050.0,40350.0,40350.0,1276620
2019-01-11,40350.0,40400.0,40200.0,40400.0,40400.0,1156040
2019-01-11,40400.0,40450.0,40300.0,40450.0,40450.0,820791
2019-01-11,40400.0,40500.0,40400.0,40400.0,40400.0,925043
2019-01-11,40450.0,40500.0,40400.0,40450.0,40450.0,1708300
2019-01-14,40450.0,40700.0,39950.0,40650.0,40650.0,0
2019-01-14,40600.0,40650.0,40250.0,40300.0,40300.0,1516614
2019-01-14,40300.0,40450.0,40250.0,40400.0,40400.0,1387260
2019-01-14,40400.0,40400.0,40200.0,40200.0,40200.0,1043950
2019-01-14,40200.0,40350.0,40200.0,40250.0,40250.0,779386
2019-01-14,40250.0,40250.0,39850.0,39900.0,39900.0,1833723
2019-01-15,40050.0,40600.0,39850.0,40500.0,40500.0,2240746
2019-01-15,40500.0,40750.0,40500.0,40650.0,40650.0,1403591
2019-01-15,40700.0,40850.0,40650.0,40800.0,40800.0,1357096
2019-01-15,40800.0,40950.0,40750.0,40800.0,40800.0,1057653
2019-01-15,40800.0,40950.0,40800.0,40850.0,40850.0,969932
2019-01-15,40900.0,41000.0,40750.0,40900.0,40900.0,1814256
2019-01-16,41150.0,41150.0,40900.0,41050.0,41050.0,0
2019-01-16,41000.0,41100.0,40700.0,40950.0,40950.0,1064660
2019-01-16,40950.0,41250.0,40900.0,41200.0,41200.0,722870
2019-01-16,41200.0,41400.0,41150.0,41300.0,41300.0,900103
2019-01-16,41300.0,41400.0,41250.0,41300.0,41300.0,1055030
2019-01-16,41300.0,41400.0,41200.0,41300.0,41300.0,1054461
2019-01-17,41650.0,41850.0,41450.0,41800.0,41800.0,2455857
2019-01-17,41800.0,42000.0,41600.0,41700.0,41700.0,2188994
2019-01-17,41750.0,42000.0,41650.0,41950.0,41950.0,1374440
2019-01-17,42000.0,42000.0,41850.0,41950.0,41950.0,753007
2019-01-17,42000.0,42100.0,41900.0,41950.0,41950.0,1468384
2019-01-17,41900.0,42100.0,41850.0,42050.0,42050.0,1745341
2019-01-18,42000.0,42250.0,41950.0,42100.0,42100.0,2433648
2019-01-18,42100.0,42400.0,42050.0,42300.0,42300.0,1427790
2019-01-18,42300.0,42400.0,42200.0,42250.0,42250.0,955036
2019-01-18,42250.0,42400.0,42200.0,42300.0,42300.0,789294
2019-01-18,42250.0,42350.0,42250.0,42350.0,42350.0,842834
2019-01-18,42300.0,42350.0,42150.0,42150.0,42150.0,1243263
2019-01-21,42700.0,42700.0,42100.0,42300.0,42300.0,0
2019-01-21,42350.0,42400.0,41900.0,42200.0,42200.0,1657632
2019-01-21,42200.0,42500.0,42150.0,42500.0,42500.0,1376948
2019-01-21,42500.0,42500.0,42350.0,42400.0,42400.0,1147607
2019-01-21,42400.0,42700.0,42400.0,42650.0,42650.0,1413577
2019-01-21,42700.0,42750.0,42550.0,42650.0,42650.0,1978009
2019-01-22,42750.0,42850.0,42150.0,42250.0,42250.0,0
2019-01-22,42250.0,42450.0,42050.0,42100.0,42100.0,1303257
2019-01-22,42050.0,42100.0,41850.0,41900.0,41900.0,1292316
2019-01-22,41900.0,42050.0,41850.0,41900.0,41900.0,915294
2019-01-22,41950.0,42000.0,41900.0,41950.0,41950.0,693293
2019-01-22,41950.0,42150.0,41900.0,42100.0,42100.0,1441001
2019-01-23,41400.0,41900.0,41350.0,41750.0,41750.0,2139077
2019-01-23,41750.0,42250.0,41700.0,42200.0,42200.0,1394928
2019-01-23,42200.0,42250.0,41850.0,41950.0,41950.0,1455424
2019-01-23,41900.0,42000.0,41800.0,41800.0,41800.0,1002292
2019-01-23,41800.0,42000.0,41800.0,41850.0,41850.0,920539
